epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,438.465,1.32011,1.65987,1.3952,0.62969,0.61831,0.59934,0.38025,1.42567,1.49462,1.47585,0.00998619,0.00332873,0.00998619,0.00332873,0.00998619,0.00332873,0.00998619,0.00332873
2,857.613,1.44221,1.5688,1.46373,0.5871,0.56466,0.54652,0.33111,1.59951,1.79033,1.60182,0.0198543,0.00661809,0.0198543,0.00661809,0.0198543,0.00661809,0.0198543,0.00661809
3,1271.75,1.60055,1.86441,1.58366,0.54644,0.39858,0.39613,0.22461,1.80352,2.49198,1.83929,0.0295904,0.00986346,0.0295904,0.00986346,0.0295904,0.00986346,0.0295904,0.00986346
4,1684.23,1.67916,1.99541,1.64979,0.52936,0.42728,0.43233,0.24501,1.80251,2.40166,1.83008,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2096.82,1.62667,1.86936,1.62679,0.59803,0.54971,0.53049,0.31108,1.6434,2.24542,1.71112,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2509.26,1.55588,1.74517,1.57875,0.61339,0.55688,0.55763,0.33655,1.60527,1.99184,1.66939,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2921.75,1.51131,1.68971,1.54291,0.62323,0.60962,0.60707,0.37427,1.52395,1.68029,1.6118,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3334.04,1.46602,1.56508,1.51902,0.65863,0.61188,0.62316,0.39841,1.48261,1.56117,1.5497,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3746.52,1.4317,1.50504,1.48256,0.65591,0.58849,0.60762,0.37989,1.51363,1.59541,1.60284,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4158.75,1.40745,1.43511,1.46473,0.66337,0.648,0.64686,0.41608,1.45452,1.45051,1.52802,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4571.16,1.39201,1.40533,1.46067,0.69416,0.63229,0.65764,0.41196,1.44873,1.43986,1.52338,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4983.21,1.36965,1.35855,1.44684,0.65859,0.67105,0.66507,0.42679,1.39448,1.37235,1.48139,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5395.28,1.33419,1.32159,1.41586,0.72569,0.63613,0.66234,0.4235,1.41009,1.40935,1.50193,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,5807.49,1.30867,1.25951,1.39568,0.74129,0.66409,0.68631,0.44079,1.41059,1.34137,1.47672,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
