epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.659,1.90051,2.74679,1.83679,0.12917,0.26665,0.06207,0.02679,2.79566,21.7126,3.05757,0.000554581,0.000554581,0.000554581
2,575.799,2.0779,2.75508,2.00495,0.29025,0.30051,0.17217,0.07744,2.21293,5.65701,2.12264,0.00108827,0.00108827,0.00108827
3,862.324,2.00473,2.63452,1.94024,0.30493,0.36493,0.23662,0.11568,2.03395,4.34553,1.85186,0.00159994,0.00159994,0.00159994
4,1148.52,1.93777,2.47491,1.86861,0.36974,0.33028,0.29614,0.14365,2.14881,2.75539,1.96586,0.00156798,0.00156798,0.00156798
5,1434.67,1.87871,2.31386,1.82202,0.48049,0.36397,0.34868,0.16728,2.02868,2.71131,1.83017,0.00153497,0.00153497,0.00153497
6,1720.73,1.8115,2.24009,1.77718,0.3713,0.36368,0.31368,0.15177,1.9686,2.55844,1.76875,0.00150197,0.00150197,0.00150197
7,2006.81,1.78017,2.12148,1.74006,0.5615,0.47467,0.50326,0.24113,1.94188,2.15547,1.76182,0.00146896,0.00146896,0.00146896
8,2293.03,1.73227,2.03864,1.70805,0.50696,0.53967,0.48205,0.25018,1.87458,2.04023,1.72442,0.00143595,0.00143595,0.00143595
9,2579.06,1.72352,1.97923,1.69249,0.64014,0.50036,0.5371,0.27454,1.88581,2.12504,1.68416,0.00140295,0.00140295,0.00140295
10,2865.13,1.6819,1.90147,1.65338,0.65782,0.54097,0.56732,0.29215,1.82821,1.88326,1.66586,0.00136994,0.00136994,0.00136994
11,3151.05,1.65483,1.87419,1.63931,0.61638,0.59279,0.58768,0.30515,1.83056,1.88899,1.65173,0.00133693,0.00133693,0.00133693
12,3437.11,1.6326,1.79204,1.62042,0.66877,0.49537,0.57819,0.31527,1.83572,1.96032,1.66458,0.00130393,0.00130393,0.00130393
13,3723.17,1.63696,1.78341,1.62844,0.5593,0.52869,0.55463,0.31492,1.83878,1.92597,1.66376,0.00127092,0.00127092,0.00127092
14,4009.05,1.58931,1.68701,1.5896,0.62034,0.58836,0.58271,0.32076,1.82277,1.86133,1.62098,0.00123791,0.00123791,0.00123791
15,4295.18,1.59357,1.6796,1.57838,0.59021,0.56698,0.57114,0.30625,1.8124,1.96285,1.6528,0.00120491,0.00120491,0.00120491
16,4581.09,1.57214,1.65163,1.55818,0.65649,0.58801,0.59994,0.31833,1.8465,1.93913,1.64216,0.0011719,0.0011719,0.0011719
17,4866.98,1.56822,1.63568,1.57488,0.73812,0.55982,0.61736,0.34443,1.77095,1.89239,1.61825,0.00113889,0.00113889,0.00113889
18,5152.95,1.53613,1.60839,1.54671,0.59231,0.54044,0.54973,0.30292,1.71738,1.95223,1.57506,0.00110589,0.00110589,0.00110589
19,5438.96,1.51493,1.55621,1.53245,0.62232,0.6267,0.65382,0.37102,1.70418,1.70814,1.54827,0.00107288,0.00107288,0.00107288
20,5724.91,1.49921,1.52741,1.52825,0.62616,0.60245,0.61787,0.34538,1.7855,1.88763,1.59489,0.00103987,0.00103987,0.00103987
21,6010.9,1.48709,1.48598,1.51638,0.68404,0.56301,0.58759,0.33412,1.70595,1.79315,1.57177,0.00100687,0.00100687,0.00100687
22,6297,1.49738,1.48872,1.50549,0.6559,0.61863,0.63959,0.37049,1.69758,1.72697,1.54562,0.000973861,0.000973861,0.000973861
23,6583.02,1.44828,1.43735,1.4845,0.68959,0.62216,0.65826,0.38432,1.70943,1.72299,1.54566,0.000940855,0.000940855,0.000940855
24,6868.98,1.4495,1.41232,1.48687,0.73038,0.54624,0.62745,0.37005,1.68589,1.64714,1.54686,0.000907848,0.000907848,0.000907848
